MITF_SIG	AXL_SIG	CAF_CORRELATED_WITH_T_ABUNDANCE	EXHAUSTION_PROGRAM_RELATED
MITF	ANGPTL4	 C1S	    CXCL13
TYR	FSTL3	    UBD	    TNFRSF1B
PMEL	GPC1	    SERPING1	    RGS2
PLP1	TMSB10	    CCL19	    TIGIT
GPR143	SH3BGRL3	    C3	    CD27
MLANA	PLAUR	    TGM2	    TNFRSF9
STX7	NGFR	    CXCL9	    SLA
IRF4	SEC14L2	    CXCL12	    RNF19A
ERBB3	FOSL1	    TMEM176A	    INPP5F
CDH1	SERPINE1	    TMEM176B	    XCL2
GPNMB	IGFBP3	    STAB1	    HLA-DMA
IGSF11	TNFRSF12A	    CCL2	    FAM3C
SLC24A5	GBE1	    PLXDC2	    UQCRC1
SLC45A2	AXL	    C1R	    WARS
RAP2B	PHLDA2	    CLIC2	    EIF3L
ASAH1	MAP1B	    ALDH2	    KCNK5
MYO10	GEM	    IL3RA	    TMBIM6
GRN	SLC22A4	    FPR2	    CD200
DOCK10	TYMP	    SERPINA1	    ZC3H7A
ACSL3	TREM1	    FCGR1A	    SH2D1A
SORT1	RIN1	    CYBB	    ATP1B3
QPCT	S100A4	    FCER1G	    MYO7A
S100B	COL6A2	    CD33	    THADA
MYC	FAM46A	    LMO2	    PARK7
LZTS1	CITED1	    SLC7A7	    EGR2
GYG2	S100A10	    CSF1R	    FDFT1
SDCBP	UCN2	    C1orf54	    CRTAM
LOXL4	SPHK1	    IL34	    IFI16
ETV5	TRIML2	    C4A	
C1orf85	S100A6	    LILRB2	
HMCN1	TMEM45A	    CSF2RB	
OSTM1	CDKN1A	    FPR1	
ALDH7A1	UBE2C	    CARD9	
FOSB	ERO1L	    TNFAIP2	
RAB38	SLC16A6	    SLCO2B1	
ELOVL2	CHI3L1	    PKHD1L1	
MLPH	FN1	    FCN1	
PLK2	S100A16	    GP1BA	
CHL1	CRIP1	    SIGLEC6	
RDH11	SLC25A37	    CFB	
LINC00473	LCN2	    P2RX1	
RELL1	ENO2	    NR1H3	
C21orf91	PFKFB4	    GPBAR1	
SCAMP3	SLC16A3	    RGS18	
SGK3	DBNDD2	    IL7	
ABCB5	LOXL2	    IFI30	
SLC7A5	CFB	    CLEC12A	
SIRPA	CADM1	    TYROBP	
WDR91	LTBP3	    HCK	
PIGS	CD109	    PIK3R6	
CYP27A1	AIM2	    ADAP2	
TM7SF3	TCN1	    CD14	
PTPRZ1	STRA6	    GHRL	
CNDP2	C9orf89	    SIGLEC9	
CTSK	DDR1	    TMEM37	
BNC2	TBC1D8	    LILRA1	
TOB1	METTL7B	    DHRS9	
CELF2	GADD45A	    PECAM1	
ROPN1	UPP1	    SPI1	
TMEM98	SPATA13	    IL15RA	
CTSA	GLRX	    SLC8A1	
LIMA1	PPFIBP1	    RBP5	
CD99	PMAIP1	    FGL2	
IGSF8	COL6A1	    MNDA	
FDFT1	JMJD6	    VNN1	
CPNE3	CIB1	    FLT3	
SLC35B4	HPCAL1	    SOD2	
EIF3E	MT2A	    CXCL11	
TNFRSF14	ZCCHC6	    CLEC10A	
VAT1	IL8	    KIF19	
HPS5	TRIM47	    HSD11B1	
CDK2	SESN2	    CXorf21	
CAPN3	PVRL2	    KEL	
SUSD5	DRAP1	    RARRES1	
ADSL	MTHFD2	    CFP	
PIGY	SDC4	    TNFSF10	
PON2	NNMT	    LILRB4	
SLC19A1	PPL	    P2RY12	
KLF6	TIMP1	    RSPO3	
MAGED1	RHOC	    FGR	
ERGIC3	GNB2	    DRAM1	
PIR	PDXK	    ANKRD22	
SLC25A5	CTNNA1	    P2RY13	
JUN	CD52	    CLEC4A	
ARPC1B	SLC2A1	    HK3	
SLC19A2	BACH1	    FBP1	
AKR7A2	ARHGEF2	    IL18BP	
HPGD	UBE2J1	    PILRA	
TBC1D7	CD82	    TFEC	
TFAP2A	ZYX	    CXCL16	
PTPLAD1	P4HA2	    FCGR3A	
SNCA	PEA15	    WARS	
GNPTAB	GLRX2	    LAP3	
DNAJA4	HAPLN3	    LGMN	
APOE	RAB36	    CMKLR1	
MTMR2	SOD2	    RBM47	
ATP6V1B2	ESYT2	    SLC43A2	
C16orf62	IL18BP	    LRRC25	
EXOSC4	FGFRL1	    CP	
STAM	PLEC	    SLC40A1	
		    MAFB	
		    CD163	
		    SH2D3C	
		    ODF3B	
		    TLR2	
